"id","name"
"1","Brig"
"2","Schooner"
"3","Curveta"
"4","Ship"
"5","Schooner-brig"
"6","Smack"
"7","Patacho"
"8","Brigantine"
"9","Barque"
"10","Polacca schooner"
"11","Pailebot"
"12","Pilot boat"
"13","Sumaca"
"14","Yacht"
"15","Felucca"
"16","Galliot"
"17","Cutter"
"18","Pinnace"
"19","Launch"
"20","Barqua"
"21","Navio mercante"
"22","Charrua de guerra"
"23","Chalupa"
"24","Pollaca"
"25","Galera"
"26","Vessel"
"27","Sloop"
"28","Steamer"
"29","Whaler"
"30","Fregat"
"31","Barque (Dutch)"
"32","Fluit"
"33","Brik"
"34","Hoeker"
"35","Snauw"
"36","Yaght"
"37","Pinas"
"38","Galjoot"
"39","Hekboot"
"40","Bergantim"
"41","Penque"
"42","Não"
"43","Corsario"
"44","Charrua"
"45","Fregata"
"46","Charrauinha"
"47","Balandra"
"48","Paquete"
"49","Hyate (iate)"
"50","Berlin"
"51","Galeta"
"52","Lugger"
"53","Ketch"
"54","Billd"
"55","Boat"
"56","Shalp"
"57","Pink"
"58","Hay"
"59","Dogger"
"60","Buque"
"61","Laud"
"63","Fragatihna"
"62","Brigue-escuna"
"64","Nau caravela"
"65","Lancha"
"66","Talaveira"
"67","Batelão"
"70","Caravela"
"71","Galeão"
"72","Nau-Caravela"
"75","Faluxo"
"76","xixorro"
"77","Vasca"
"80","Pangaio"
"81","Palla"
"82","Barca"
"83","Escaller"
"84","Filibote"
"85","Urca"
"86","Pinnace"
"99","Other (specify in note)"
